Modelo,Velocidade (km/h)
Porsche 914-2,91
Merc 450SL,106
Hornet Sportabout,147
Cadillac Fleetwood,139
AMC Javelin,168
Merc 450SLC,122
Merc 450SLC,124
Ford Pantera L,79
Toyota Corona,95
Merc 450SL,114
Volvo 142E,103
Hornet 4 Drive,143
Lotus Europa,117
Merc 240D,130
Fiat X1-9,106
Duster 360,121
Merc 280,145
AMC Javelin,152
Lotus Europa,103
Hornet Sportabout,137
Toyota Corolla,92
Merc 450SE,142
Valiant,114
Datsun 710,124
Cadillac Fleetwood,137
Merc 280C,150
Datsun 710,138
Merc 450SLC,120
Merc 450SL,80
Merc 280C,148
Merc 450SE,142
Fiat X1-9,125
AMC Javelin,166
Valiant,97
Merc 450SLC,138
Hornet 4 Drive,118
Merc 280C,146
Honda Civic,137
Merc 280,132
Mazda RX4 Wag,110
Toyota Corolla,79
Merc 230,117
Merc 230,143
Merc 450SE,147
Valiant,85
Honda Civic,138
Valiant,93
Ford Pantera L,89
Cadillac Fleetwood,121
Toyota Corona,92
Fiat X1-9,123
Cadillac Fleetwood,128
Pontiac Firebird,116
Merc 280C,155
Merc 450SLC,116
Toyota Corona,105
Merc 280,121
Merc 450SE,154
Honda Civic,137
Valiant,99
Duster 360,119
Lincoln Continental,160
Merc 280C,145
Merc 450SE,125
Valiant,106
Merc 450SLC,97
Merc 280,133
Dodge Challenger,93
Honda Civic,152
Lotus Europa,104
Dodge Challenger,96
Hornet Sportabout,126
Merc 280,137
Porsche 914-2,108
Duster 360,139
AMC Javelin,145
Ford Pantera L,93
Porsche 914-2,104
Toyota Corolla,101
Merc 230,110
Hornet 4 Drive,139
Toyota Corolla,120
Merc 450SLC,114
Dodge Challenger,104
Lincoln Continental,147
Lotus Europa,105
Fiat 128,108
Merc 280,151
Lotus Europa,112
AMC Javelin,146
Hornet Sportabout,133
Fiat X1-9,110
Merc 230,123
Merc 450SL,107
Fiat X1-9,114
Duster 360,142
Toyota Corolla,90
Lotus Europa,104
Dodge Challenger,116
Lincoln Continental,131
AMC Javelin,144
Pontiac Firebird,99
Pontiac Firebird,116
Hornet 4 Drive,119
Duster 360,141
Fiat X1-9,127
Hornet 4 Drive,145
Maserati Bora,120
Fiat X1-9,103
Datsun 710,136
Lincoln Continental,147
Camaro Z28,148
Merc 280C,153
Toyota Corona,100
Honda Civic,138
Merc 280,134
Datsun 710,127
Mazda RX4 Wag,103
Merc 450SE,147
Pontiac Firebird,129
Duster 360,123
Mazda RX4 Wag,99
Ferrari Dino,141
Merc 450SL,104
Lotus Europa,108
Merc 240D,143
Merc 280C,139
Fiat X1-9,103
Porsche 914-2,91
Merc 240D,143
Merc 230,127
Pontiac Firebird,117
Merc 280C,161
Hornet 4 Drive,130
Honda Civic,132
Merc 280,138
Duster 360,126
Mazda RX4 Wag,100
Pontiac Firebird,109
Ford Pantera L,105
Duster 360,150
Dodge Challenger,110
Merc 450SE,140
Hornet 4 Drive,143
Merc 240D,144
Cadillac Fleetwood,141
Merc 280,141
Duster 360,146
Fiat X1-9,123
Fiat X1-9,112
Duster 360,150
Duster 360,111
Merc 280C,148
Valiant,99
Merc 280,124
Maserati Bora,117
Duster 360,130
Honda Civic,124
Valiant,95
Maserati Bora,119
Valiant,110
Hornet 4 Drive,120
Dodge Challenger,103
Duster 360,142
Lotus Europa,91
AMC Javelin,145
Hornet Sportabout,152
Merc 450SE,141
Merc 280,137
Cadillac Fleetwood,112
Mazda RX4 Wag,122
Camaro Z28,155
Fiat 128,79
Merc 450SE,133
Camaro Z28,143
Toyota Corona,88
Toyota Corona,82
Merc 230,106
Valiant,101
Hornet Sportabout,147
Merc 450SE,161
Merc 450SE,153
Hornet Sportabout,143
Merc 280,141
Toyota Corolla,117
Merc 450SE,149
Valiant,87
Honda Civic,137
Datsun 710,142
AMC Javelin,150
Hornet Sportabout,127
Merc 450SLC,108
Merc 280C,142
Porsche 914-2,113
Merc 280C,142
Valiant,99
Lincoln Continental,148
Ford Pantera L,93
Lincoln Continental,157
Merc 230,147
Hornet Sportabout,128
Merc 450SE,142
Hornet 4 Drive,119
Hornet 4 Drive,119
Merc 450SL,95
Chrysler Imperial,138
Cadillac Fleetwood,129
Mazda RX4 Wag,104
Duster 360,130
Merc 280,157
Merc 450SLC,119
Merc 240D,117
Hornet Sportabout,134
Merc 450SE,137
Fiat 128,95
Merc 280,128
Lotus Europa,105
Merc 450SE,141
Datsun 710,135
Maserati Bora,128
Dodge Challenger,101
Chrysler Imperial,145
Volvo 142E,90
Toyota Corona,88
Lincoln Continental,135
Ferrari Dino,142
Merc 240D,132
Toyota Corona,92
Valiant,89
Datsun 710,142
Cadillac Fleetwood,146
Pontiac Firebird,97
Lotus Europa,107
Toyota Corona,97
Volvo 142E,86
Dodge Challenger,109
Valiant,104
Porsche 914-2,91
Ferrari Dino,135
Merc 230,123
Volvo 142E,94
Lincoln Continental,130
Mazda RX4 Wag,120
Ferrari Dino,142
Camaro Z28,150
Cadillac Fleetwood,128
Merc 450SE,138
Fiat 128,74
Cadillac Fleetwood,133
Valiant,96
Merc 280C,140
Merc 450SLC,120
Merc 450SLC,130
Merc 230,134
Toyota Corona,97
Merc 240D,160
Merc 240D,136
Merc 450SLC,122
Lotus Europa,113
Mazda RX4 Wag,110
Honda Civic,155
Toyota Corolla,98
Honda Civic,137
Porsche 914-2,100
AMC Javelin,158
Lincoln Continental,143
Merc 280,149
Pontiac Firebird,114
Camaro Z28,156
Valiant,93
Merc 450SLC,133
Fiat X1-9,100
Ford Pantera L,88
Valiant,94
Hornet 4 Drive,123
Valiant,103
Hornet Sportabout,138
Hornet Sportabout,143
Lotus Europa,89
Pontiac Firebird,113
Merc 280C,136
Merc 280,144
Fiat 128,106
Hornet 4 Drive,109
Volvo 142E,87
Pontiac Firebird,122
Merc 230,123
Hornet Sportabout,132
Maserati Bora,126
Ferrari Dino,123
Volvo 142E,93
Lincoln Continental,136
Merc 280,134
Dodge Challenger,97
Toyota Corona,88
Fiat X1-9,121
Merc 450SE,143
Datsun 710,140
Hornet Sportabout,144
Merc 280,138
Cadillac Fleetwood,161
Hornet 4 Drive,128
Ferrari Dino,141
Lotus Europa,125
Chrysler Imperial,133
Porsche 914-2,83
Lincoln Continental,148
Porsche 914-2,98
Ferrari Dino,146
Merc 450SE,156
Mazda RX4 Wag,101
Datsun 710,120
AMC Javelin,145
Duster 360,126
Volvo 142E,87
Merc 450SLC,130
Hornet Sportabout,136
Merc 450SE,153
Lotus Europa,106
Maserati Bora,133
Ferrari Dino,142
Hornet 4 Drive,129
Lotus Europa,92
Hornet 4 Drive,132
Honda Civic,121
Valiant,128
Pontiac Firebird,112
Lotus Europa,90
Ferrari Dino,150
Pontiac Firebird,110
Dodge Challenger,89
Mazda RX4 Wag,98
Volvo 142E,91
Merc 230,132
Toyota Corona,110
Valiant,97
Volvo 142E,98
Honda Civic,142
Ford Pantera L,78
Valiant,110
Pontiac Firebird,123
Volvo 142E,85
Merc 450SE,125
Mazda RX4 Wag,115
Dodge Challenger,84
Merc 280C,140
Pontiac Firebird,108
Ford Pantera L,85
Merc 450SE,155
Porsche 914-2,106
Dodge Challenger,97
Ford Pantera L,87
Porsche 914-2,95
Hornet Sportabout,152
Porsche 914-2,97
Merc 230,131
Mazda RX4 Wag,100
Hornet Sportabout,138
Ford Pantera L,90
Ford Pantera L,88
Merc 280C,148
Merc 280C,136
Camaro Z28,143
Pontiac Firebird,120
Maserati Bora,127
Merc 230,120
Camaro Z28,140
Duster 360,122
Volvo 142E,105
Pontiac Firebird,114
Ford Pantera L,99
Merc 230,123
Volvo 142E,96
Hornet Sportabout,136
Hornet 4 Drive,137
Merc 280C,134
Merc 230,123
Honda Civic,113
Merc 280,137
Merc 280,137
Camaro Z28,148
Pontiac Firebird,132
Mazda RX4 Wag,94
Duster 360,121
Porsche 914-2,86
Merc 230,135
Merc 230,108
Fiat X1-9,131
Hornet 4 Drive,132
Merc 280,138
Porsche 914-2,97
Merc 280,151
Valiant,106
Duster 360,112
Merc 240D,141
Maserati Bora,123
Lotus Europa,105
Toyota Corona,82
Pontiac Firebird,113
Toyota Corona,101
Chrysler Imperial,140
Toyota Corolla,101
Honda Civic,135
Maserati Bora,129
Porsche 914-2,109
Hornet Sportabout,130
AMC Javelin,152
Fiat 128,110
Toyota Corona,96
Merc 450SLC,115
Merc 280C,140
Volvo 142E,85
Hornet Sportabout,141
Merc 450SLC,120
Cadillac Fleetwood,116
Datsun 710,136
Merc 280,113
Ferrari Dino,123
Volvo 142E,97
Merc 240D,149
Merc 450SLC,121
Volvo 142E,104
Ford Pantera L,89
Mazda RX4 Wag,107
Merc 450SLC,111
Hornet 4 Drive,122
Fiat X1-9,122
Merc 450SL,97
Valiant,105
Fiat X1-9,125
Mazda RX4 Wag,89
Duster 360,151
Camaro Z28,128
Toyota Corona,87
Ford Pantera L,99
Dodge Challenger,109
Merc 450SE,136
Volvo 142E,101
Ford Pantera L,99
Datsun 710,141
Camaro Z28,147
Merc 450SLC,123
Merc 450SE,149
Porsche 914-2,104
Toyota Corolla,101
Lotus Europa,96
Dodge Challenger,105
Maserati Bora,118
Toyota Corona,100
Valiant,109
AMC Javelin,140
Mazda RX4 Wag,110
Fiat X1-9,120
Hornet Sportabout,127
Honda Civic,147
Merc 450SE,149
Fiat X1-9,98
Hornet Sportabout,137
Chrysler Imperial,132
Pontiac Firebird,126
Dodge Challenger,115
Datsun 710,118
Ford Pantera L,114
Honda Civic,134
Merc 450SL,99
Fiat X1-9,130
Merc 450SE,140
Maserati Bora,129
Merc 280,114
Merc 280,135
Merc 280C,143
Honda Civic,127
Merc 280C,154
Valiant,92
AMC Javelin,147
Hornet 4 Drive,146
Merc 450SL,99
Lotus Europa,100
Hornet Sportabout,148
Hornet Sportabout,133
Cadillac Fleetwood,122
Honda Civic,130
Fiat X1-9,95
Duster 360,128
Fiat 128,94
Pontiac Firebird,113
Cadillac Fleetwood,127
Merc 280,144
Maserati Bora,136
Fiat 128,122
Merc 280,123
Honda Civic,135
Merc 280,145
Hornet 4 Drive,128
Camaro Z28,126
Merc 230,122
AMC Javelin,129
Merc 280,155
Merc 240D,124
Cadillac Fleetwood,135
Ford Pantera L,80
Lotus Europa,84
Ford Pantera L,104
Toyota Corolla,83
Honda Civic,147
Lincoln Continental,144
Honda Civic,146
Pontiac Firebird,129
Toyota Corona,111
Honda Civic,130
Fiat 128,84
Ferrari Dino,133
Pontiac Firebird,135
Cadillac Fleetwood,133
Toyota Corolla,83
Toyota Corona,91
Fiat X1-9,120
Merc 450SE,163
Volvo 142E,87
Valiant,93
Maserati Bora,123
Hornet Sportabout,121
Merc 280C,144
Fiat X1-9,108
Mazda RX4 Wag,90
Valiant,98
Hornet Sportabout,151
Porsche 914-2,96
Fiat X1-9,114
Valiant,98
AMC Javelin,144
Chrysler Imperial,131
Merc 240D,153
Merc 450SE,143
Pontiac Firebird,112
Merc 230,135
Merc 450SLC,106
Volvo 142E,93
Volvo 142E,101
Cadillac Fleetwood,133
Cadillac Fleetwood,138
Chrysler Imperial,143
Hornet Sportabout,135
Porsche 914-2,107
Cadillac Fleetwood,127
Merc 280C,173
Dodge Challenger,105
Merc 450SE,127
Maserati Bora,114
Merc 450SLC,115
Pontiac Firebird,127
Merc 240D,114
Porsche 914-2,98
Camaro Z28,148
Camaro Z28,132
Toyota Corolla,93
Volvo 142E,102
Ford Pantera L,87
Fiat X1-9,104
Maserati Bora,121
Porsche 914-2,105
Ferrari Dino,131
Duster 360,129
Duster 360,141
Merc 230,118
Porsche 914-2,103
Camaro Z28,143
Lotus Europa,102
Merc 240D,118
Mazda RX4 Wag,98
Toyota Corolla,107
Lincoln Continental,145
Honda Civic,138
Merc 230,118
Toyota Corona,100
Merc 230,137
Datsun 710,136
Valiant,94
Valiant,110
Merc 230,103
Lotus Europa,89
Ford Pantera L,71
Merc 280C,151
Pontiac Firebird,124
Merc 240D,142
Merc 280,143
Maserati Bora,125
Merc 280C,133
Merc 280,139
Camaro Z28,164
Merc 280C,130
Dodge Challenger,118
Hornet 4 Drive,140
Maserati Bora,129
Porsche 914-2,99
Hornet 4 Drive,122
Hornet Sportabout,146
Dodge Challenger,103
Fiat 128,101
Valiant,98
Datsun 710,128
Dodge Challenger,104
Camaro Z28,165
Lotus Europa,101
Mazda RX4 Wag,112
Toyota Corolla,108
Merc 450SE,140
Camaro Z28,152
Merc 450SE,134
Hornet Sportabout,158
Fiat 128,91
Camaro Z28,136
Merc 450SLC,134
Merc 450SL,116
Cadillac Fleetwood,130
Merc 450SLC,130
Cadillac Fleetwood,147
Lincoln Continental,148
Ferrari Dino,135
Honda Civic,138
Duster 360,143
Toyota Corona,87
Mazda RX4 Wag,82
Mazda RX4 Wag,106
Chrysler Imperial,135
AMC Javelin,144
Volvo 142E,99
Toyota Corona,96
Toyota Corona,91
Pontiac Firebird,114
AMC Javelin,139
Camaro Z28,166
Hornet Sportabout,150
Mazda RX4 Wag,102
AMC Javelin,147
Merc 450SE,144
Toyota Corona,91
Fiat X1-9,113
Datsun 710,127
Merc 280,124
Merc 230,128
Merc 450SE,158
Camaro Z28,144
Maserati Bora,120
Fiat 128,96
Valiant,95
Mazda RX4 Wag,101
Volvo 142E,93
Volvo 142E,121
Lincoln Continental,153
Lotus Europa,101
Pontiac Firebird,109
Duster 360,126
Camaro Z28,132
Hornet 4 Drive,130
Hornet 4 Drive,130
Hornet Sportabout,139
Lincoln Continental,130
Valiant,109
Merc 230,133
Merc 450SL,98
Hornet 4 Drive,125
Merc 240D,141
Honda Civic,153
Merc 450SLC,90
Honda Civic,146
Hornet Sportabout,136
Mazda RX4 Wag,96
Toyota Corolla,102
Pontiac Firebird,119
Hornet Sportabout,155
Fiat X1-9,99
Duster 360,145
Datsun 710,132
AMC Javelin,158
Pontiac Firebird,119
Ferrari Dino,126
Toyota Corolla,104
Merc 280C,134
Dodge Challenger,105
Valiant,107
Merc 280,126
Merc 240D,118
Duster 360,138
AMC Javelin,136
Volvo 142E,92
Datsun 710,125
Toyota Corona,84
Merc 240D,139
Merc 450SLC,125
Pontiac Firebird,112
Cadillac Fleetwood,129
Hornet 4 Drive,122
Volvo 142E,78
Honda Civic,117
Maserati Bora,122
AMC Javelin,142
Honda Civic,123
Volvo 142E,95
Honda Civic,144
Merc 230,137
Pontiac Firebird,132
Merc 450SE,143
Toyota Corona,103
Lotus Europa,103
Volvo 142E,93
Merc 450SE,146
Merc 280,141
Lotus Europa,104
Toyota Corona,109
Merc 450SE,136
Merc 280C,146
Lincoln Continental,140
Ferrari Dino,123
Volvo 142E,94
Merc 450SL,95
Hornet Sportabout,149
Mazda RX4 Wag,102
Merc 450SLC,134
Merc 240D,141
Merc 450SE,153
Merc 450SLC,108
Maserati Bora,111
Camaro Z28,163
Mazda RX4 Wag,112
Porsche 914-2,108
Volvo 142E,114
Duster 360,142
Merc 230,125
Porsche 914-2,99
Volvo 142E,97
Fiat X1-9,112
Ferrari Dino,130
Hornet 4 Drive,136
AMC Javelin,154
Ferrari Dino,134
Merc 450SLC,107
Pontiac Firebird,111
Merc 280C,140
Maserati Bora,124
Pontiac Firebird,124
Cadillac Fleetwood,119
Fiat X1-9,125
Mazda RX4 Wag,93
Camaro Z28,134
Valiant,116
AMC Javelin,154
Datsun 710,139
Hornet Sportabout,143
Fiat X1-9,79
Merc 450SL,100
Lotus Europa,117
Merc 450SE,156
Fiat 128,94
Volvo 142E,101
Valiant,95
Valiant,97
Merc 450SL,90
Hornet 4 Drive,135
Merc 280C,157
Hornet 4 Drive,123
Pontiac Firebird,120
Datsun 710,120
Duster 360,131
Mazda RX4 Wag,107
Duster 360,121
Merc 280,151
Lincoln Continental,161
Valiant,101
Merc 280,135
Merc 280,127
Merc 450SL,105
Pontiac Firebird,111
Ford Pantera L,106
Ferrari Dino,125
Datsun 710,143
Merc 450SE,149
Mazda RX4 Wag,116
Duster 360,142
Honda Civic,138
Toyota Corona,118
Hornet Sportabout,120
Pontiac Firebird,118
Cadillac Fleetwood,137
Honda Civic,141
AMC Javelin,142
Merc 450SLC,101
Honda Civic,141
Merc 230,133
Cadillac Fleetwood,141
Ferrari Dino,122
Merc 450SLC,108
Volvo 142E,73
Hornet Sportabout,129
Fiat 128,98
Merc 280,152
Ferrari Dino,146
AMC Javelin,146
Lotus Europa,97
Valiant,110
Pontiac Firebird,115
Merc 280,141
Chrysler Imperial,141
Merc 230,105
Volvo 142E,108
Valiant,116
Merc 280,142
Merc 450SL,102
Merc 240D,131
Chrysler Imperial,140
Merc 280,142
Hornet Sportabout,140
Camaro Z28,128
Fiat 128,118
Pontiac Firebird,120
Fiat X1-9,112
AMC Javelin,166
Camaro Z28,131
Porsche 914-2,122
Honda Civic,120
Merc 450SLC,92
Porsche 914-2,104
Chrysler Imperial,135
Duster 360,130
Pontiac Firebird,115
Merc 280,153
Merc 450SE,146
Chrysler Imperial,141
Ford Pantera L,81
Merc 450SL,91
Merc 280,137
Camaro Z28,153
Valiant,86
Merc 450SE,160
Ford Pantera L,107
Ford Pantera L,116
Hornet 4 Drive,112
Toyota Corona,108
Merc 280,133
Fiat X1-9,101
Merc 450SLC,105
Mazda RX4 Wag,109
Merc 450SE,148
Fiat 128,91
Mazda RX4 Wag,94
Duster 360,156
Merc 240D,150
Porsche 914-2,105
Toyota Corolla,101
Merc 230,115
Honda Civic,137
Porsche 914-2,91
Cadillac Fleetwood,145
Volvo 142E,98
Lincoln Continental,143
Dodge Challenger,88
Merc 450SLC,110
Fiat 128,97
Duster 360,143
Merc 240D,144
Merc 240D,141
Merc 450SLC,122
Volvo 142E,99
Honda Civic,130
Lotus Europa,107
Ferrari Dino,136
Merc 450SL,86
AMC Javelin,145
Merc 240D,130
Camaro Z28,129
Chrysler Imperial,137
Valiant,98
Valiant,94
Maserati Bora,127
Datsun 710,132
Cadillac Fleetwood,124
Duster 360,123
Mazda RX4 Wag,108
Valiant,89
Camaro Z28,149
AMC Javelin,148
Pontiac Firebird,111
Hornet 4 Drive,134
Merc 450SE,154
Merc 230,121
Valiant,105
Pontiac Firebird,115
Merc 280,136
Lotus Europa,111
Valiant,97
Toyota Corona,98
Merc 280,139
Pontiac Firebird,116
Merc 450SE,160
Datsun 710,129
Merc 240D,135
Merc 280C,147
Merc 240D,140
Porsche 914-2,105
Merc 230,131
Honda Civic,151
Lotus Europa,95
Fiat X1-9,122
Toyota Corona,88
Hornet Sportabout,141
Pontiac Firebird,131
Lincoln Continental,143
Dodge Challenger,100
Fiat 128,105
Merc 450SLC,126
Fiat X1-9,95
Camaro Z28,134
Datsun 710,128
Merc 280C,136
AMC Javelin,154
Mazda RX4 Wag,109
Toyota Corona,94
Valiant,98
Chrysler Imperial,134
Merc 450SLC,116
Valiant,113
Porsche 914-2,91
Lincoln Continental,129
Datsun 710,132
Merc 450SE,115
Pontiac Firebird,133
Cadillac Fleetwood,131
AMC Javelin,166
Lincoln Continental,138
Duster 360,134
Merc 450SLC,124
Merc 280C,146
Honda Civic,132
Merc 280C,160
Camaro Z28,149
Toyota Corolla,101
AMC Javelin,153
Dodge Challenger,94
AMC Javelin,148
Merc 450SE,144
Honda Civic,129
Merc 450SLC,111
Porsche 914-2,105
Cadillac Fleetwood,130
Duster 360,147
Duster 360,149
Hornet Sportabout,142
Merc 280,137
Duster 360,137
Honda Civic,126
Maserati Bora,118
Honda Civic,126
Datsun 710,148
Mazda RX4 Wag,105
Hornet Sportabout,130
Merc 450SE,144
Ferrari Dino,134
Hornet Sportabout,146
Pontiac Firebird,125
Merc 280,127
Camaro Z28,139
Maserati Bora,116
Porsche 914-2,118
Lotus Europa,95
Pontiac Firebird,115
Lotus Europa,94
Valiant,110
Maserati Bora,133
Merc 450SLC,126
Dodge Challenger,114
Fiat X1-9,103
Duster 360,135
Toyota Corona,100
Merc 280,125
Ferrari Dino,135
Merc 240D,136
Merc 280,128
Datsun 710,140
AMC Javelin,146
Lincoln Continental,134
Merc 450SLC,127
Datsun 710,131
Mazda RX4 Wag,105
Merc 240D,120
Duster 360,125
Dodge Challenger,93
Camaro Z28,147
Ferrari Dino,133
Hornet 4 Drive,127
Hornet 4 Drive,135
Merc 450SE,132
Cadillac Fleetwood,127
Hornet Sportabout,116
Merc 280C,144
Fiat 128,86
Datsun 710,138
Valiant,104
Lotus Europa,98
Merc 280,152
Merc 450SL,114
Merc 450SLC,110
Toyota Corolla,93
Merc 280,141
Hornet Sportabout,146
Fiat X1-9,115
Mazda RX4 Wag,110
Merc 450SLC,120
Ferrari Dino,129
Merc 230,131
Merc 450SL,92
Cadillac Fleetwood,145
Duster 360,145
Ferrari Dino,127
Porsche 914-2,99
Dodge Challenger,102
Valiant,77
Maserati Bora,132
Ford Pantera L,89
Merc 450SL,99
Maserati Bora,106
Porsche 914-2,124
AMC Javelin,140
Pontiac Firebird,115
Merc 450SLC,130
Valiant,91
Volvo 142E,96
Porsche 914-2,114
Hornet Sportabout,110
Merc 280C,156
Toyota Corona,85
Honda Civic,130
Merc 230,126
Valiant,95
Valiant,74
Porsche 914-2,102
Merc 230,137
Datsun 710,125
Valiant,114
Volvo 142E,83
Pontiac Firebird,110
Valiant,82
Merc 450SLC,130
Honda Civic,153
AMC Javelin,147
Merc 450SE,144
Valiant,107
Merc 450SL,86
Hornet Sportabout,139
Merc 450SLC,119
Merc 450SLC,113
Datsun 710,120
Maserati Bora,125
Valiant,89
Valiant,99
Merc 450SL,90
Lincoln Continental,148
Merc 450SLC,120
Dodge Challenger,103
Ferrari Dino,139
Toyota Corona,105
Hornet 4 Drive,131
Mazda RX4 Wag,89
AMC Javelin,138
Pontiac Firebird,122
Hornet Sportabout,140
Merc 280,133
Merc 450SE,128
Merc 450SLC,121
Pontiac Firebird,117
Pontiac Firebird,107
Duster 360,128
Honda Civic,110
Cadillac Fleetwood,144
Ford Pantera L,93
Hornet Sportabout,128
Fiat 128,93
Duster 360,128
Lotus Europa,88
Maserati Bora,119
Merc 450SLC,121
Merc 450SLC,110
Volvo 142E,96
Ford Pantera L,99
Chrysler Imperial,149
Mazda RX4 Wag,118
Hornet Sportabout,143
Valiant,100
Chrysler Imperial,125
Ford Pantera L,94
Fiat 128,89
Toyota Corona,86
Mazda RX4 Wag,109
Duster 360,138
Honda Civic,135
Duster 360,134
Honda Civic,142
Porsche 914-2,105
Duster 360,130
Mazda RX4 Wag,98
Duster 360,144
Merc 450SLC,113
Mazda RX4 Wag,100
Merc 450SL,99
Valiant,89
Hornet Sportabout,135
Volvo 142E,91
Ferrari Dino,151
Merc 280,132
Camaro Z28,138
Honda Civic,141
Toyota Corona,89
Dodge Challenger,102
Honda Civic,143
Hornet 4 Drive,136
Merc 450SLC,114
Valiant,103
Valiant,120
Maserati Bora,120
Merc 280C,127
Valiant,106
Lotus Europa,87
Dodge Challenger,99
Volvo 142E,92
AMC Javelin,138
Merc 230,99
Merc 450SLC,128
Ford Pantera L,114
Duster 360,128
Merc 230,120
Datsun 710,145
Ferrari Dino,122
Merc 450SLC,117
Valiant,101
Chrysler Imperial,149
Ferrari Dino,156
Lotus Europa,100
Datsun 710,118
Mazda RX4 Wag,102
Camaro Z28,147
Merc 450SE,136
Merc 450SE,146
AMC Javelin,156
Pontiac Firebird,109
Toyota Corona,89
Merc 450SLC,97
Fiat X1-9,111
Mazda RX4 Wag,98
Duster 360,136
AMC Javelin,133
Dodge Challenger,103
Volvo 142E,125
Porsche 914-2,101
Merc 280C,137
Toyota Corona,85
Mazda RX4 Wag,87
Merc 230,98
Volvo 142E,73
Merc 450SL,87
Merc 450SE,154
Merc 230,120
Merc 450SE,155
Maserati Bora,121
Lincoln Continental,164
Merc 230,115
Toyota Corolla,113
Volvo 142E,105
Merc 450SLC,117
Toyota Corolla,110
Cadillac Fleetwood,131
Porsche 914-2,90
Fiat X1-9,110
Merc 240D,132
Volvo 142E,108
Fiat X1-9,96
Merc 450SE,143
Hornet 4 Drive,119
Ferrari Dino,157
Merc 450SE,164
Volvo 142E,84
Honda Civic,139
AMC Javelin,163
Merc 450SLC,116
Pontiac Firebird,111
Maserati Bora,131
Merc 280,143
Mazda RX4 Wag,101
Honda Civic,145
Toyota Corona,96
Duster 360,150
Dodge Challenger,98
Pontiac Firebird,101
Fiat X1-9,110
Hornet Sportabout,148
Merc 240D,151
Hornet Sportabout,122
Merc 280,152
Camaro Z28,140
Merc 450SE,153
Pontiac Firebird,107
Hornet 4 Drive,137
Duster 360,128
Duster 360,122
Maserati Bora,139
Toyota Corona,89
Pontiac Firebird,119
Merc 450SLC,123
Valiant,100
Hornet 4 Drive,140
Duster 360,124
Merc 450SLC,124
Hornet Sportabout,139
Lotus Europa,104
Ford Pantera L,84
Ferrari Dino,148
Merc 450SE,143
Dodge Challenger,98
Hornet Sportabout,141
AMC Javelin,165
Dodge Challenger,113
Toyota Corona,90
Mazda RX4 Wag,120
Merc 280C,137
Fiat X1-9,127
Duster 360,121
Hornet Sportabout,144
Merc 450SL,95
Hornet 4 Drive,136
Hornet Sportabout,122
Hornet Sportabout,146
Porsche 914-2,119
Lotus Europa,104
Datsun 710,145
Volvo 142E,90
Duster 360,146
Hornet 4 Drive,133
Mazda RX4 Wag,108
Lotus Europa,91
Volvo 142E,75
Cadillac Fleetwood,135
Lotus Europa,110
Duster 360,125
Merc 450SE,165
Merc 240D,151
Toyota Corona,89
Merc 230,137
Toyota Corolla,100
Toyota Corolla,109
AMC Javelin,135
Ford Pantera L,87
Duster 360,138
Ford Pantera L,109
Porsche 914-2,120
Merc 280C,134
Merc 240D,144
Datsun 710,155
Chrysler Imperial,121
Porsche 914-2,85
Hornet 4 Drive,139
Camaro Z28,151
Fiat 128,90
Maserati Bora,118
Merc 280C,142
AMC Javelin,153
Toyota Corona,103
Merc 450SLC,124
Valiant,94
Merc 230,108
AMC Javelin,126
Camaro Z28,139
Fiat X1-9,95
Hornet Sportabout,137
Hornet Sportabout,137
Merc 280C,159
Ford Pantera L,71
Lotus Europa,87
Porsche 914-2,94
Toyota Corona,96
Hornet Sportabout,154
Datsun 710,131
Dodge Challenger,110
Hornet 4 Drive,132
Porsche 914-2,103
Hornet Sportabout,142
Duster 360,142
Dodge Challenger,96
Merc 450SLC,97
Hornet Sportabout,127
Datsun 710,152
Merc 240D,138
Camaro Z28,119
Valiant,100
Porsche 914-2,86
Ferrari Dino,117
Fiat 128,88
Fiat 128,120
AMC Javelin,149
Lincoln Continental,136
Merc 280,161
Merc 280C,128
Ferrari Dino,121
Merc 280C,150
Toyota Corona,102
Merc 280,166
Camaro Z28,142
Merc 240D,127
Merc 450SLC,96
Valiant,86
Merc 450SLC,138
Duster 360,133
Volvo 142E,111
Merc 450SL,103
Dodge Challenger,103
Ford Pantera L,93
Mazda RX4 Wag,105
Ferrari Dino,143
Lotus Europa,102
Volvo 142E,99
Merc 240D,126
Dodge Challenger,116
Porsche 914-2,99
Toyota Corona,98
Hornet Sportabout,126
Duster 360,125
Valiant,94
Volvo 142E,83
Fiat X1-9,93
Datsun 710,144
Merc 240D,137
Mazda RX4 Wag,108
Toyota Corona,86
Valiant,110
Merc 280C,155
Hornet Sportabout,146
Volvo 142E,96
Toyota Corona,98
Merc 450SL,96
Hornet Sportabout,137
Merc 280C,152
Merc 280,154
Mazda RX4 Wag,111
AMC Javelin,137
Merc 450SE,135
Hornet Sportabout,153
Hornet Sportabout,145
Toyota Corolla,108
Merc 450SLC,110
Duster 360,131
Ferrari Dino,105
Dodge Challenger,117
Mazda RX4 Wag,97
Duster 360,139
Honda Civic,129
Duster 360,127
Dodge Challenger,129
Honda Civic,137
Ferrari Dino,153
Mazda RX4 Wag,96
AMC Javelin,156
AMC Javelin,144
Lotus Europa,124
Merc 230,139
Ferrari Dino,125
Honda Civic,125
AMC Javelin,169
Merc 450SE,161
